"","req_id","src_sys_cd","LT","SubCnt","DistrCnt","RespCnt","CompSubClass","CompDistrClass","WinLose","NTE","SubRt","Sub_NTE","SubTime","SubRank","Result"
"71","1003882                  ","IQN       ","Business Professional",24,26,7,"High","High","0",34.33,70,2.039,25,22,"Submit Only"
"72","1003882                  ","IQN       ","Business Professional",24,26,7,"High","High","0",34.33,65,1.893,32,23,"Submit Only"
"73","1003882                  ","IQN       ","Business Professional",24,26,7,"High","High","0",34.33,70,2.039,32,24,"Submit Only"
"74","1003892                  ","IQN       ","Business Professional",6,23,5,"Medium","High","0",42,42,1,4,1,"Shortlist"
"75","1003892                  ","IQN       ","Business Professional",6,23,5,"Medium","High","0",42,47,1.119,4,2,"Shortlist"
"76","1003892                  ","IQN       ","Business Professional",6,23,5,"Medium","High","0",42,47,1.119,4,3,"Shortlist"
"77","1003892                  ","IQN       ","Business Professional",6,23,5,"Medium","High","0",42,47,1.119,4,4,"Shortlist"
"78","1003892                  ","IQN       ","Business Professional",6,23,5,"Medium","High","0",42,47,1.119,6,5,"Shortlist"
"79","1003892                  ","IQN       ","Business Professional",6,23,5,"Medium","High","0",42,47,1.119,7,6,"Shortlist"
"80","10051-1                  ","BL        ","Engineering",3,2,2,"Low","Low","0",116.38,243,2.088,-739,1,"Submit Only"
"81","10051-1                  ","BL        ","Business Professional",3,2,2,"Low","Low","0",134.9,243,1.801,1,2,"Submit Only"
"82","10051-1                  ","BL        ","Engineering",3,2,2,"Low","Low","1",116.38,243,2.088,-739,3,"Hire"
"83","10051-1                  ","BL        ","Business Professional",3,2,2,"Low","Low","1",134.9,243,1.801,1,4,"Hire"
"84","10051-1                  ","BL        ","Business Professional",3,2,2,"Low","Low","1",134.9,136.5,1.012,744,5,"Hire"
"85","10051-1                  ","BL        ","Engineering",3,2,2,"Low","Low","1",116.38,136.5,1.173,4,6,"Hire"
"86","1006-1                   ","BL        ","Business Professional",9,5,5,"Medium","Medium","0",14.4,33,2.292,NA,1,"Submit Only"
"87","1006-1                   ","BL        ","Information Technology",9,5,5,"Medium","Medium","0",50,33,0.66,0,2,"Submit Only"
"88","1006-1                   ","BL        ","Information Technology",9,5,5,"Medium","Medium","0",50,32,0.64,1,3,"Shortlist"
"89","1006-1                   ","BL        ","Business Professional",9,5,5,"Medium","Medium","0",14.4,32,2.222,NA,4,"Shortlist"
"90","1006-1                   ","BL        ","Information Technology",9,5,5,"Medium","Medium","0",50,33,0.66,1,5,"Submit Only"
"91","1006-1                   ","BL        ","Business Professional",9,5,5,"Medium","Medium","0",14.4,33,2.292,NA,6,"Submit Only"
"92","1006-1                   ","BL        ","Business Professional",9,5,5,"Medium","Medium","0",14.4,33,2.292,NA,7,"Interview"
"93","1006-1                   ","BL        ","Information Technology",9,5,5,"Medium","Medium","0",50,33,0.66,2,8,"Interview"
"94","1006-1                   ","BL        ","Business Professional",9,5,5,"Medium","Medium","0",14.4,33,2.292,NA,9,"Interview"
"95","1006-1                   ","BL        ","Information Technology",9,5,5,"Medium","Medium","0",50,33,0.66,2,10,"Interview"
"96","1006-1                   ","BL        ","Business Professional",9,5,5,"Medium","Medium","0",14.4,33,2.292,NA,11,"Submit Only"
"97","1006-1                   ","BL        ","Information Technology",9,5,5,"Medium","Medium","0",50,33,0.66,15,12,"Submit Only"
"98","1006-1                   ","BL        ","Information Technology",9,5,5,"Medium","Medium","0",50,32,0.64,16,13,"Interview"
"99","1006-1                   ","BL        ","Business Professional",9,5,5,"Medium","Medium","0",14.4,32,2.222,NA,14,"Interview"
"100","1006-1                   ","BL        ","Business Professional",9,5,5,"Medium","Medium","1",14.4,33,2.292,NA,15,"Hire"
"101","1006-1                   ","BL        ","Information Technology",9,5,5,"Medium","Medium","1",50,33,0.66,19,16,"Hire"
"102","1006-1                   ","BL        ","Information Technology",9,5,5,"Medium","Medium","0",50,32.5,0.65,21,17,"Shortlist"
"103","1006-1                   ","BL        ","Business Professional",9,5,5,"Medium","Medium","0",14.4,32.5,2.257,NA,18,"Shortlist"
"104","10062-1                  ","BL        ","Engineering",7,6,3,"Medium","Medium","0",1398.13,1450,1.037,19,1,"Shortlist"
"105","10062-1                  ","BL        ","Engineering",7,6,3,"Medium","Medium","0",1398.13,1600,1.144,20,2,"Shortlist"
"106","10062-1                  ","BL        ","Engineering",7,6,3,"Medium","Medium","0",1398.13,1300,0.93,25,3,"Shortlist"
"107","10062-1                  ","BL        ","Engineering",7,6,3,"Medium","Medium","0",1398.13,1050,0.751,27,4,"Shortlist"
"108","10062-1                  ","BL        ","Engineering",7,6,3,"Medium","Medium","0",1398.13,1100,0.787,33,5,"Shortlist"
"109","10062-1                  ","BL        ","Engineering",7,6,3,"Medium","Medium","0",1398.13,1450,1.037,33,6,"Shortlist"
"110","10070-1                  ","BL        ","Information Technology",42,38,17,"High","High","0",87,87,1,2,1,"Submit Only"
"111","10070-1                  ","BL        ","Information Technology",42,38,17,"High","High","0",87,87,1,3,2,"Interview"
"112","10070-1                  ","BL        ","Information Technology",42,38,17,"High","High","0",87,87,1,4,3,"Submit Only"
"113","10070-1                  ","BL        ","Information Technology",42,38,17,"High","High","0",87,87,1,6,4,"Interview"
"114","10070-1                  ","BL        ","Information Technology",42,38,17,"High","High","0",87,85.5,0.983,6,5,"Submit Only"
"115","10070-1                  ","BL        ","Information Technology",42,38,17,"High","High","0",87,87,1,6,6,"Submit Only"
"116","10070-1                  ","BL        ","Information Technology",42,38,17,"High","High","0",87,87,1,6,7,"Submit Only"
"117","10070-1                  ","BL        ","Information Technology",42,38,17,"High","High","0",87,87,1,6,8,"Shortlist"
"118","10070-1                  ","BL        ","Information Technology",42,38,17,"High","High","0",87,87,1,6,9,"Interview"
"119","10070-1                  ","BL        ","Information Technology",42,38,17,"High","High","0",87,87,1,6,10,"Submit Only"
"120","10070-1                  ","BL        ","Information Technology",42,38,17,"High","High","0",87,90,1.034,6,11,"Submit Only"
"121","10070-1                  ","BL        ","Information Technology",42,38,17,"High","High","0",87,86.5,0.994,7,12,"Submit Only"
"122","10070-1                  ","BL        ","Information Technology",42,38,17,"High","High","0",87,72,0.828,7,13,"Shortlist"
"123","10070-1                  ","BL        ","Information Technology",42,38,17,"High","High","0",87,87,1,7,14,"Submit Only"
"124","10070-1                  ","BL        ","Information Technology",42,38,17,"High","High","0",87,85,0.977,7,15,"Submit Only"
"125","10070-1                  ","BL        ","Information Technology",42,38,17,"High","High","0",87,87,1,7,16,"Interview"
"126","10070-1                  ","BL        ","Information Technology",42,38,17,"High","High","0",87,87,1,7,17,"Submit Only"
"127","10070-1                  ","BL        ","Information Technology",42,38,17,"High","High","0",87,83,0.954,8,18,"Interview"
"128","10070-1                  ","BL        ","Information Technology",42,38,17,"High","High","0",87,87,1,8,19,"Submit Only"
"129","10070-1                  ","BL        ","Information Technology",42,38,17,"High","High","0",87,80,0.92,8,20,"Submit Only"
"130","10070-1                  ","BL        ","Information Technology",42,38,17,"High","High","0",87,87,1,8,21,"Shortlist"
"131","10070-1                  ","BL        ","Information Technology",42,38,17,"High","High","0",87,78,0.897,9,22,"Shortlist"
"132","10070-1                  ","BL        ","Information Technology",42,38,17,"High","High","0",87,85.68,0.985,9,23,"Submit Only"
"133","10070-1                  ","BL        ","Information Technology",42,38,17,"High","High","0",87,90,1.034,9,24,"Interview"
"134","10070-1                  ","BL        ","Information Technology",42,38,17,"High","High","0",87,87,1,9,25,"Shortlist"
